#,name,profile_url,location,answers,badge,picture_url
0,Bernard P Wolfsdorf,https://www.eb5investors.com/directories/immigration-attorneys/bernard-wolfsorf/,"Santa Monica, California",3218 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/60be21f3ebf28ff7b8a692a752d92cf8.jpg
1,Lynne Feldman,https://www.eb5investors.com/directories/immigration-attorneys/lynne-feldman/,"San Diego, California",3066 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/15fa1fad1fc582dd65403f6f950b1e21.jpg
2,Salvatore Picataggio,https://www.eb5investors.com/directories/immigration-attorneys/salvatore-picataggio/,"Orlando, Florida",2595 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/b259a593d2ac9619df8c8a5a6c2717a2.jpg
3,Fredrick W Voigtmann,https://www.eb5investors.com/directories/immigration-attorneys/frederick-w-voigtmann/,"Woodland Hills, California",2024 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/37241d744c96e57d29332979a23b8c5c.jpg
4,Julia Roussinova,https://www.eb5investors.com/directories/immigration-attorneys/julia-roussinova/,"Bellevue, Washington",1872 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/b8c78ee23d4f42c6c58cede44fedb0cd.jpg
5,A Olusanjo Omoniyi,https://www.eb5investors.com/directories/immigration-attorneys/a-olusanjo-omoniyi/,"Chicago, Illinois",1716 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/0afe095e81a6ac76ff3f69975cb3e7ae.jpg
6,BoBi Ahn,https://www.eb5investors.com/directories/immigration-attorneys/bobi-ahn/,"New York, New York",1540 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/fb598cb494b6e98253995d800fab908d.jpg
7,Charles Foster,https://www.eb5investors.com/directories/immigration-attorneys/charles-foster/,"Houston, Texas",1465 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/3fd1b2c1e64d1b6e4a31d9d668849979.jpg
8,Ed Beshara,https://www.eb5investors.com/directories/immigration-attorneys/ed-beshara/,"Maitland, Florida",1382 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/fe998b49c41c4208c968bce204fa1cbb.jpg
9,Belma Demirovic Chinchoy,https://www.eb5investors.com/directories/immigration-attorneys/belma-demirovic-chinchoy/,"Beverly Hills, California",1236 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/c86038fe04bc7097e218b4fd6b767f4b.jpg
10,Stephen Berman,https://www.eb5investors.com/directories/immigration-attorneys/stephen-berman/,"Milwaukee, Wisconsin",1127 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/1f3a9b29cfa4d79d22eff2553c4aaadf.jpg
11,John J Downey,https://www.eb5investors.com/directories/immigration-attorneys/john-j-downey/,"Quincy, Massachusetts",936 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/5fb37d5bbdbbae16dea2f3104d7f9439.jpg
12,Dale Schwartz,https://www.eb5investors.com/directories/immigration-attorneys/dale-schwartz/,"Atlanta, Georgia",721 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/516cc95d0baf5a0b04f55d8ae4212944.jpg
13,Daniel A Zeft,https://www.eb5investors.com/directories/immigration-attorneys/law-offices-of-daniel-a-zeft/,"Chicago, Illinois",541 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/d63036cfba56a5c3cb75ab14b33fe677.jpg
14,Vaughan de Kirby,https://www.eb5investors.com/directories/immigration-attorneys/vaughan-de-kirby/,"San Francisco, California",520 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/f0f072c0dbbe1e8b36afffba199afa23.jpg
15,Reza Rahbaran,https://www.eb5investors.com/directories/immigration-attorneys/reza-rahbaran/,"Washington, District of Columbia",491 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/a7e272202d38f212dcdc3978bcb70a6f.jpg
16,Ed Beshara,https://www.eb5investors.com/directories/immigration-attorneys/ed-beshara/,"Maitland, Florida",1382 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/fe998b49c41c4208c968bce204fa1cbb.jpg
17,Belma Demirovic Chinchoy,https://www.eb5investors.com/directories/immigration-attorneys/belma-demirovic-chinchoy/,"Beverly Hills, California",1236 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/c86038fe04bc7097e218b4fd6b767f4b.jpg
18,Stephen Berman,https://www.eb5investors.com/directories/immigration-attorneys/stephen-berman/,"Milwaukee, Wisconsin",1127 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/1f3a9b29cfa4d79d22eff2553c4aaadf.jpg
19,John J Downey,https://www.eb5investors.com/directories/immigration-attorneys/john-j-downey/,"Quincy, Massachusetts",936 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/5fb37d5bbdbbae16dea2f3104d7f9439.jpg
20,Dale Schwartz,https://www.eb5investors.com/directories/immigration-attorneys/dale-schwartz/,"Atlanta, Georgia",721 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/516cc95d0baf5a0b04f55d8ae4212944.jpg
21,Daniel A Zeft,https://www.eb5investors.com/directories/immigration-attorneys/law-offices-of-daniel-a-zeft/,"Chicago, Illinois",541 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/d63036cfba56a5c3cb75ab14b33fe677.jpg
22,Vaughan de Kirby,https://www.eb5investors.com/directories/immigration-attorneys/vaughan-de-kirby/,"San Francisco, California",520 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/f0f072c0dbbe1e8b36afffba199afa23.jpg
23,Reza Rahbaran,https://www.eb5investors.com/directories/immigration-attorneys/reza-rahbaran/,"Washington, District of Columbia",491 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/a7e272202d38f212dcdc3978bcb70a6f.jpg
24,Ed Beshara,https://www.eb5investors.com/directories/immigration-attorneys/ed-beshara/,"Maitland, Florida",1382 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/fe998b49c41c4208c968bce204fa1cbb.jpg
25,Belma Demirovic Chinchoy,https://www.eb5investors.com/directories/immigration-attorneys/belma-demirovic-chinchoy/,"Beverly Hills, California",1236 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/c86038fe04bc7097e218b4fd6b767f4b.jpg
